id,dt,crystals
1,2023-12-18,7
1,2023-12-23,7
1,2023-12-24,4
1,2023-12-30,6
1,2024-01-02,8
1,2024-01-10,8
1,2024-01-19,6
1,2024-01-20,2
1,2024-01-23,3
1,2024-01-31,9
1,2024-02-05,2
1,2024-02-10,4
1,2024-02-18,0
1,2024-02-27,10
1,2024-02-28,7
2,2023-03-09,1
2,2023-03-12,3
2,2023-03-14,7
2,2023-03-17,5
2,2023-03-19,0
2,2023-04-02,6
2,2023-04-04,0
2,2023-04-15,6
2,2023-04-23,8
2,2023-04-25,5
2,2023-05-03,3
2,2023-05-04,6
2,2023-05-08,1
2,2023-05-29,5
2,2023-06-04,3
3,2023-01-16,9
3,2023-01-17,0
3,2023-01-25,1
3,2023-01-30,0
3,2023-01-31,4
3,2023-02-18,3
3,2023-02-22,2
3,2023-02-24,8
3,2023-03-11,9
3,2023-03-14,8
3,2023-04-06,6
3,2023-04-12,1
3,2023-04-13,4
3,2023-04-14,3
3,2023-04-20,4
4,2023-05-23,9
4,2023-05-27,3
4,2023-05-29,2
4,2023-06-04,4
4,2023-06-05,6
4,2023-06-20,0
4,2023-07-13,9
4,2023-07-18,5
4,2023-07-23,3
4,2023-07-25,9
4,2023-07-28,6
4,2023-08-05,2
4,2023-08-08,10
4,2023-08-09,10
4,2023-08-10,1
5,2023-05-08,1
5,2023-05-11,5
5,2023-05-14,3
5,2023-06-07,10
5,2023-06-20,10
5,2023-06-21,1
5,2023-06-22,9
5,2023-06-24,5
5,2023-07-05,2
5,2023-07-09,0
5,2023-07-12,5
5,2023-07-14,8
5,2023-07-15,5
5,2023-07-26,10
5,2023-08-09,2
6,2023-04-29,3
6,2023-04-30,0
6,2023-05-03,5
6,2023-05-12,4
6,2023-05-18,8
6,2023-05-20,6
6,2023-06-01,8
6,2023-06-22,7
6,2023-06-23,4
6,2023-06-25,0
6,2023-07-14,10
6,2023-07-21,3
6,2023-07-23,4
6,2023-07-25,5
6,2023-08-02,0
7,2023-03-28,4
7,2023-04-05,1
7,2023-04-16,6
7,2023-04-24,1
7,2023-04-25,6
7,2023-04-29,9
7,2023-05-01,2
7,2023-05-03,8
7,2023-05-07,4
7,2023-05-08,5
7,2023-05-15,1
7,2023-05-18,1
7,2023-06-04,5
7,2023-06-09,10
7,2023-06-16,4
8,2023-02-27,10
8,2023-03-15,0
8,2023-03-29,1
8,2023-04-02,10
8,2023-04-07,10
8,2023-04-08,6
8,2023-04-17,5
8,2023-04-18,8
8,2023-04-19,10
8,2023-04-20,2
8,2023-05-10,0
8,2023-05-11,2
8,2023-05-21,9
8,2023-05-24,10
8,2023-05-26,7
9,2023-12-17,1
9,2023-12-21,9
9,2023-12-29,2
9,2024-01-01,8
9,2024-01-12,5
9,2024-01-28,6
9,2024-01-29,5
9,2024-01-31,10
9,2024-02-07,4
9,2024-02-08,3
9,2024-02-23,1
9,2024-02-28,0
9,2024-03-04,2
9,2024-03-08,7
9,2024-03-21,8
10,2023-10-16,7
10,2023-10-22,2
10,2023-10-24,7
10,2023-11-01,1
10,2023-11-03,10
10,2023-11-09,5
10,2023-11-12,10
10,2023-11-25,5
10,2023-12-03,1
10,2023-12-08,8
10,2023-12-17,8
10,2023-12-24,4
10,2024-01-03,4
10,2024-01-05,2
10,2024-01-14,10
11,2023-02-17,9
11,2023-03-01,1
11,2023-03-02,1
11,2023-03-03,4
11,2023-03-08,6
11,2023-03-11,7
11,2023-03-14,8
11,2023-03-16,6
11,2023-04-01,6
11,2023-04-02,9
11,2023-04-14,1
11,2023-04-18,2
11,2023-04-20,5
11,2023-04-25,10
11,2023-04-28,1
12,2023-11-06,1
12,2023-11-15,8
12,2023-11-22,2
12,2023-12-13,4
12,2023-12-24,2
12,2023-12-26,2
12,2023-12-28,5
12,2024-01-02,3
12,2024-01-04,5
12,2024-01-08,8
12,2024-01-13,4
12,2024-01-19,1
12,2024-01-25,4
12,2024-02-05,3
12,2024-02-06,10
13,2023-08-16,9
13,2023-08-21,9
13,2023-08-24,5
13,2023-08-26,9
13,2023-09-09,0
13,2023-09-12,0
13,2023-10-08,1
13,2023-10-12,0
13,2023-10-14,10
13,2023-10-18,9
13,2023-10-19,4
13,2023-10-22,10
13,2023-10-24,3
13,2023-10-26,9
13,2023-10-28,6
14,2023-01-20,0
14,2023-01-26,2
14,2023-02-17,7
14,2023-02-23,6
14,2023-02-24,7
14,2023-03-09,7
14,2023-03-16,3
14,2023-03-19,5
14,2023-03-21,9
14,2023-03-27,2
14,2023-04-06,5
14,2023-04-07,5
14,2023-04-08,5
14,2023-04-09,6
14,2023-04-14,2
15,2023-01-22,4
15,2023-01-28,6
15,2023-01-29,9
15,2023-01-31,6
15,2023-02-03,3
15,2023-02-15,2
15,2023-02-16,5
15,2023-02-19,9
15,2023-02-25,5
15,2023-03-04,3
15,2023-03-14,2
15,2023-03-16,7
15,2023-03-22,8
15,2023-03-28,7
15,2023-04-23,7
16,2023-02-19,10
16,2023-02-23,7
16,2023-02-28,4
16,2023-03-16,8
16,2023-03-19,0
16,2023-03-25,1
16,2023-03-28,6
16,2023-04-03,2
16,2023-04-08,4
16,2023-04-16,5
16,2023-04-21,6
16,2023-04-22,5
16,2023-05-02,0
16,2023-05-04,6
16,2023-05-11,0
17,2023-05-01,1
17,2023-05-16,2
17,2023-05-27,1
17,2023-05-28,6
17,2023-06-07,5
17,2023-06-10,5
17,2023-06-18,8
17,2023-06-25,5
17,2023-07-01,2
17,2023-07-02,3
17,2023-07-03,9
17,2023-07-09,8
17,2023-07-10,6
17,2023-07-18,8
17,2023-07-28,0
18,2023-05-04,6
18,2023-05-05,9
18,2023-05-17,4
18,2023-05-19,9
18,2023-05-20,5
18,2023-06-09,8
18,2023-06-10,8
18,2023-06-11,8
18,2023-06-27,7
18,2023-06-29,9
18,2023-07-04,4
18,2023-07-05,7
18,2023-07-16,0
18,2023-07-17,5
18,2023-07-30,5
19,2023-09-19,3
19,2023-09-30,0
19,2023-10-19,9
19,2023-10-25,7
19,2023-11-08,2
19,2023-11-15,8
19,2023-11-28,10
19,2023-11-29,9
19,2023-12-01,6
19,2023-12-05,2
19,2023-12-08,10
19,2023-12-11,3
19,2023-12-13,0
19,2023-12-17,9
19,2023-12-24,1
20,2023-11-07,0
20,2023-11-24,2
20,2023-11-29,8
20,2023-12-01,3
20,2023-12-15,8
20,2023-12-27,5
20,2023-12-28,10
20,2023-12-31,7
20,2024-01-04,8
20,2024-01-08,6
20,2024-01-22,5
20,2024-02-01,2
20,2024-02-06,7
20,2024-02-07,8
20,2024-02-12,5
21,2023-02-07,4
21,2023-02-14,3
21,2023-02-16,4
21,2023-02-18,4
21,2023-02-28,3
21,2023-03-16,7
21,2023-03-24,5
21,2023-03-26,7
21,2023-04-02,5
21,2023-04-06,8
21,2023-04-10,4
21,2023-04-11,4
21,2023-04-12,1
21,2023-04-16,9
21,2023-04-22,10
22,2023-10-20,7
22,2023-10-25,3
22,2023-11-02,3
22,2023-11-16,8
22,2023-11-20,4
22,2023-11-21,8
22,2023-11-28,4
22,2023-12-02,2
22,2023-12-04,1
22,2023-12-10,9
22,2023-12-23,9
22,2024-01-06,3
22,2024-01-14,3
22,2024-01-18,0
22,2024-01-21,10
23,2023-04-12,2
23,2023-04-18,6
23,2023-04-24,10
23,2023-04-29,7
23,2023-05-10,7
23,2023-05-11,10
23,2023-05-24,3
23,2023-06-03,4
23,2023-06-11,5
23,2023-06-18,4
23,2023-06-21,10
23,2023-07-02,0
23,2023-07-08,1
23,2023-07-12,10
23,2023-07-19,9
24,2023-11-30,9
24,2023-12-03,1
24,2023-12-21,5
24,2023-12-22,4
24,2023-12-28,7
24,2024-01-05,10
24,2024-01-06,8
24,2024-01-18,8
24,2024-01-21,7
24,2024-01-31,2
24,2024-02-05,8
24,2024-02-09,7
24,2024-02-29,4
24,2024-03-02,3
24,2024-03-03,1
25,2023-12-27,3
25,2024-01-15,2
25,2024-01-18,9
25,2024-01-27,10
25,2024-02-01,6
25,2024-02-06,6
25,2024-02-07,8
25,2024-02-22,5
25,2024-03-07,1
25,2024-03-17,6
25,2024-03-21,10
25,2024-03-26,1
25,2024-03-28,2
25,2024-03-29,2
25,2024-03-31,7
26,2023-10-07,4
26,2023-10-08,10
26,2023-11-06,5
26,2023-11-07,3
26,2023-11-09,0
26,2023-11-10,10
26,2023-11-14,1
26,2023-11-17,7
26,2023-11-18,4
26,2023-11-25,2
26,2023-12-03,6
26,2023-12-19,10
26,2023-12-20,8
26,2024-01-07,4
26,2024-01-11,1
27,2023-08-20,8
27,2023-08-22,10
27,2023-08-31,3
27,2023-09-09,3
27,2023-09-19,10
27,2023-09-25,9
27,2023-09-30,1
27,2023-10-02,8
27,2023-10-03,7
27,2023-10-12,8
27,2023-10-19,5
27,2023-10-20,1
27,2023-10-23,9
27,2023-10-31,1
27,2023-11-06,0
28,2023-05-07,7
28,2023-05-12,1
28,2023-05-14,8
28,2023-05-18,7
28,2023-05-19,0
28,2023-06-03,7
28,2023-06-18,2
28,2023-06-26,8
28,2023-06-28,6
28,2023-06-30,7
28,2023-07-02,9
28,2023-07-05,0
28,2023-07-06,8
28,2023-07-19,7
28,2023-07-23,10
29,2023-08-18,8
29,2023-08-20,0
29,2023-08-23,1
29,2023-08-26,7
29,2023-08-27,0
29,2023-09-14,4
29,2023-09-19,6
29,2023-09-26,2
29,2023-10-01,2
29,2023-10-07,10
29,2023-10-11,10
29,2023-10-31,6
29,2023-11-15,5
29,2023-11-18,6
29,2023-11-21,7
30,2023-11-08,3
30,2023-11-13,0
30,2023-11-14,0
30,2023-11-15,4
30,2023-11-20,7
30,2023-12-12,10
30,2023-12-16,8
30,2023-12-18,6
30,2024-01-04,8
30,2024-01-05,6
30,2024-01-06,3
30,2024-01-20,3
30,2024-01-21,7
30,2024-01-24,5
30,2024-01-30,2
31,2023-05-25,9
31,2023-05-27,0
31,2023-05-31,7
31,2023-06-04,9
31,2023-06-06,10
31,2023-06-16,0
31,2023-06-18,3
31,2023-06-22,0
31,2023-06-27,6
31,2023-07-15,7
31,2023-08-09,3
31,2023-08-15,8
31,2023-08-23,3
31,2023-08-28,0
31,2023-08-29,2
32,2023-01-22,3
32,2023-02-02,6
32,2023-02-03,4
32,2023-02-10,4
32,2023-02-11,0
32,2023-02-13,8
32,2023-02-14,9
32,2023-03-09,2
32,2023-03-11,10
32,2023-03-18,10
32,2023-03-21,6
32,2023-03-29,8
32,2023-03-31,7
32,2023-04-07,0
32,2023-04-12,5
33,2023-04-11,3
33,2023-04-15,4
33,2023-04-22,2
33,2023-04-30,7
33,2023-05-02,0
33,2023-05-10,8
33,2023-05-14,6
33,2023-05-15,6
33,2023-05-22,8
33,2023-05-29,8
33,2023-05-30,2
33,2023-06-13,6
