id,dt_start,salary
1,2023-11-24,5907
2,2023-02-27,3648
3,2023-01-13,4272
4,2023-05-21,5256
5,2023-05-06,3056
6,2023-04-25,5262
7,2023-03-13,4671
8,2023-02-22,3381
9,2023-12-13,3920
10,2023-10-07,6446
11,2023-02-14,6739
12,2023-10-30,3464
13,2023-08-05,4890
14,2023-01-17,6879
15,2023-01-16,3481
16,2023-02-17,5653
17,2023-04-22,6408
18,2023-04-30,3630
19,2023-09-16,5041
20,2023-11-05,6820
21,2023-01-14,5935
22,2023-10-15,4195
23,2023-04-12,5084
24,2023-11-29,5889
25,2023-12-26,4119
26,2023-10-07,4701
27,2023-08-03,6419
28,2023-04-23,4976
29,2023-08-18,4934
30,2023-10-29,3998
31,2023-05-23,4870
32,2023-01-04,5257
33,2023-03-23,3592
34,2023-12-24,4571
35,2023-08-05,3780
36,2023-06-24,6775
37,2023-05-23,5455
38,2023-03-21,5081
39,2023-04-21,6056
40,2023-06-22,6601
41,2023-02-22,3559
42,2023-02-17,6539
43,2023-07-14,3285
44,2023-02-19,4131
45,2023-07-03,6164
46,2023-06-26,6235
47,2023-11-06,6499
48,2023-05-16,4699
49,2023-01-23,4392
50,2023-08-24,6826
51,2023-10-02,6226
52,2023-03-05,5079
53,2023-07-13,4094
54,2023-02-10,6360
55,2023-10-10,3010
56,2023-05-31,4158
57,2023-11-18,5973
58,2023-11-13,4222
59,2023-07-05,6430
60,2023-10-23,5404
61,2023-04-09,5375
62,2023-12-27,5703
63,2023-02-05,5005
64,2023-01-24,6544
65,2023-12-05,3608
66,2023-04-27,4829
67,2023-05-29,5206
68,2023-02-10,4983
69,2023-04-30,4413
70,2023-02-21,4361
71,2023-07-14,5260
72,2023-05-23,6124
73,2023-08-21,5225
74,2023-11-22,4545
75,2023-07-06,4865
76,2023-03-25,6820
77,2023-07-09,4318
78,2023-07-01,6561
79,2023-04-18,3772
80,2023-12-10,5856
81,2023-05-17,3978
82,2023-12-26,5342
83,2023-12-16,4568
84,2023-11-28,3956
85,2023-02-06,6506
86,2023-11-08,6176
87,2023-11-22,4682
88,2023-03-29,3178
89,2023-10-01,4303
90,2023-05-06,6050
91,2023-03-25,4937
92,2023-08-25,5888
93,2023-07-14,6741
94,2023-05-19,6323
95,2023-11-24,4561
96,2023-12-19,4581
97,2023-10-13,5718
98,2023-04-23,6245
99,2023-12-17,6361
100,2023-06-16,5670
101,2023-01-29,3623
102,2023-04-28,5028
103,2023-01-17,6951
104,2023-06-11,3151
105,2023-07-25,3517
106,2023-05-18,5057
107,2023-02-03,6954
108,2023-04-19,5417
109,2023-10-18,4359
110,2023-06-11,6562
111,2023-04-19,3411
112,2023-12-02,6580
113,2023-09-13,6461
114,2023-07-22,4803
115,2023-11-26,3408
116,2023-08-23,5154
117,2023-03-15,6729
118,2023-05-16,4871
119,2023-03-13,3062
120,2023-05-07,5959
121,2023-10-15,3590
122,2023-10-03,4679
123,2023-05-15,6567
124,2023-10-27,5681
125,2023-08-08,6972
126,2023-10-26,3632
127,2023-07-24,3306
128,2023-07-05,4923
129,2023-04-23,6201
130,2023-03-12,6969
131,2023-09-18,4085
132,2023-09-10,4386
133,2023-02-16,5552
134,2023-01-25,5837
135,2023-02-26,4628
136,2023-03-20,5661
137,2023-11-18,3328
138,2023-03-23,6488
139,2023-12-15,4345
140,2023-08-05,6491
141,2023-11-02,5762
142,2023-02-02,6519
143,2023-07-17,5185
144,2023-07-15,4556
145,2023-11-02,6908
146,2023-08-28,4297
147,2023-09-28,5567
148,2023-05-09,5943
149,2023-10-11,6634
150,2023-01-06,6110
151,2023-12-15,4998
152,2023-02-28,6573
153,2023-12-16,5216
154,2023-10-02,3147
155,2023-05-17,5529
156,2023-11-25,3280
157,2023-06-24,3961
158,2023-02-27,5585
159,2023-05-31,5803
160,2023-08-11,6772
161,2023-03-22,4177
162,2023-08-21,3931
163,2023-01-02,6058
164,2023-05-15,3370
165,2023-09-14,4777
166,2023-04-02,3403
